Name,Team,GP,G,A,Pts,diff,PIM,Hits,BkS,PPG,PPA,SHG,SHA,GW,SOG,Pct
Sven Baertschi,CGY,5,3,0,3,2,4,5,0,0,0,0,0,0,10,.300
Colby Armstrong,MON,29,1,2,3,-8,9,37,5,0,0,0,0,0,14,.071
Mats Zuccarello,NYR,10,2,1,3,0,6,8,3,1,1,0,0,1,10,.200
Sean Avery,NYR,15,3,0,3,2,21,10,1,0,0,0,0,1,15,.200
Evgenii Dadonov,CAR,15,2,1,3,-4,2,13,1,0,0,0,0,0,21,.095
B.J. Crombeen,TAM,40,1,2,3,-2,71,22,2,0,0,0,0,0,50,.020
Matt Calvert,COB,13,0,3,3,-5,16,8,1,0,0,0,0,0,4,.000
Eric Fehr,WAS,35,2,1,3,-6,12,22,13,0,0,0,0,1,54,.037
Linus Omark,EDM,14,3,0,3,-5,8,7,6,0,0,0,0,0,24,.125
Carson McMillan,MIN,11,1,2,3,1,11,19,9,0,0,0,0,1,8,.125
Chris Conner,PHO,8,1,2,3,2,0,4,3,0,0,0,0,0,10,.100
John Madden,FLA,31,3,0,3,-4,4,23,12,0,0,0,0,1,33,.091
Brett Sutter,CAR,15,0,3,3,-1,11,23,1,0,0,0,0,0,11,.000
Jan Mursak,DET,25,1,2,3,2,0,21,11,0,0,0,0,0,22,.045
Jared Boll,COB,54,2,1,3,-8,126,96,10,0,0,0,0,0,35,.057
Rod Pelley,ANA,52,2,1,3,-3,16,80,25,0,0,0,0,0,44,.045
