name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Eric Hinske,339,649,33.929,10.991,43.965,0.000,0.236,0.315,-2.296,0.000,-0.709,0.000,-1.297,0.000,-0.953,0.000,-1.267,0.000,-0.674,0.000,-7.195,0.000
Brian Bogusevic,252,547,42.429,7.071,29.571,12.857,0.227,0.310,-1.825,0.000,-1.125,0.000,-1.958,0.000,0.122,0.000,-1.648,0.000,-0.834,0.000,-7.269,0.000
Xavier Nady,260,675,44.238,8.723,50.469,1.869,0.237,0.288,-1.725,0.000,-0.950,0.000,-0.998,0.000,-0.797,0.000,-1.213,0.000,-1.594,0.000,-7.276,0.000
Lou Marson,236,700,56.288,2.746,37.068,10.983,0.216,0.304,-1.057,0.000,-1.585,0.000,-1.613,0.000,-0.035,0.000,-2.110,0.000,-1.033,0.000,-7.434,0.000
Jose Lopez,313,1060,46.581,11.387,55.380,2.588,0.236,0.265,-1.595,0.000,-0.667,0.000,-0.772,0.000,-0.737,0.000,-1.263,0.000,-2.430,0.000,-7.464,0.000
Alexi Amarista,129,327,47.721,6.279,46.465,10.047,0.226,0.266,-1.532,0.000,-1.210,0.000,-1.182,0.000,-0.113,0.000,-1.665,0.000,-2.365,0.000,-8.066,0.000
Don Kelly,306,608,41.824,9.000,32.824,3.706,0.234,0.281,-1.859,0.000,-0.920,0.000,-1.809,0.000,-0.643,0.000,-1.360,0.000,-1.867,0.000,-8.457,0.000
Paul Janish,251,703,43.888,3.227,36.789,3.227,0.220,0.284,-1.745,0.000,-1.534,0.000,-1.626,0.000,-0.683,0.000,-1.909,0.000,-1.741,0.000,-9.239,0.000
Luis Valbuena,198,583,42.545,5.727,43.364,1.636,0.206,0.287,-1.819,0.000,-1.268,0.000,-1.324,0.000,-0.816,0.000,-2.526,0.000,-1.644,0.000,-9.397,0.000
Cesar Izturis,230,669,41.557,2.113,28.174,8.452,0.232,0.270,-1.874,0.000,-1.652,0.000,-2.022,0.000,-0.246,0.000,-1.438,0.000,-2.236,0.000,-9.469,0.000
Humberto Quintero,210,665,32.400,5.400,49.371,0.771,0.236,0.259,-2.381,1.120,-1.303,-0.287,-1.048,0.753,-0.888,0.101,-1.253,0.339,-2.613,0.084,-9.487,2.110
Jesus Flores,113,363,38.708,10.035,40.142,1.434,0.212,0.249,-2.032,0.000,-0.810,0.000,-1.472,0.000,-0.833,0.000,-2.261,0.000,-2.967,0.000,-10.375,0.000
Jeff Mathis,232,663,43.293,9.776,46.784,3.491,0.195,0.230,-1.777,0.000,-0.838,0.000,-1.167,0.000,-0.661,0.000,-3.000,0.000,-3.631,0.000,-11.074,0.000
